X_s	Y_s	X_p	Y_p	X_d	Y_d	X_f	Y_f	X_sum	Y_sum
-18.68103508	58.28985724	-18.45043911	0.402584067	-18.42847759	0.346367103			-18.68103508	62.41596859
-18.67005432	55.03271753	-18.43945835	0.364710595	-18.41749683	0.312080951			-18.67005432	58.93085642
-18.65907356	51.86013617	-18.42847759	0.329673981	-18.40651606	0.280558482			-18.65907356	55.53586514
-18.6480928	48.77837731	-18.41749683	0.297343697	-18.3955353	0.251652938			-18.6480928	52.23774144
-18.63711204	45.79292503	-18.40651606	0.267579371	-18.38455454	0.225212191			-18.63711204	49.0423949
-18.62613128	42.9085278	-18.3955353	0.240253603	-18.37357378	0.20108599			-18.62613128	45.9549445
-18.61515052	40.12910752	-18.38455454	0.215225836	-18.36259302	0.179130469			-18.61515052	42.9796233
-18.60416976	37.45770043	-18.37357378	0.192359339	-18.35161226	0.159196483			-18.60416976	40.11971573
-18.593189	34.89664385	-18.36259302	0.171524101	-18.3406315	0.141151665			-18.593189	37.37775522
-18.58220824	32.44755445	-18.35161226	0.152581362	-18.32965074	0.124855504			-18.58220824	34.7555016
-18.57122748	30.11123519	-18.3406315	0.135414725	-18.31866998	0.110174664			-18.57122748	32.25384218
-18.56024672	27.88827375	-18.32965074	0.119892506	-18.30768922	0.096988006			-18.56024672	29.87342913
-18.54926595	25.77815574	-18.31866998	0.105890584	-18.29670846	0.085170417			-18.54926595	27.61373547
-18.53828519	23.78008138	-18.30768922	0.093300235	-18.2857277	0.07461175			-18.53828519	25.47392521
-18.52730443	21.89268909	-18.29670846	0.08200242	-18.27474693	0.065200994			-18.52730443	23.45255847
-18.51632367	20.11420074	-18.2857277	0.071898155	-18.26376617	0.056832977			-18.51632367	21.54774765
-18.50534291	18.44228284	-18.27474693	0.062882282	-18.25278541	0.049415705			-18.50534291	19.75700946
-18.49436215	16.87443218	-18.26376617	0.054854126	-18.24180465	0.042858234			-18.49436215	18.07767535
-18.48338139	15.40762359	-18.25278541	0.047732119	-18.23082389	0.03707881			-18.48338139	16.50651811
-18.47240063	14.03870749	-18.24180465	0.041429246	-18.21984313	0.031993131			-18.47240063	15.04017408
-18.46141987	12.76428508	-18.23082389	0.035869804	-18.20886237	0.027536491			-18.46141987	13.67501162
-18.45043911	11.58062015	-18.21984313	0.030972077	-18.19788161	0.023636765			-18.45043911	12.40703769
-18.43945835	10.48397478	-18.20886237	0.026676451	-18.18690085	0.020240233			-18.43945835	11.23225468
-18.42847759	9.470435565	-18.19788161	0.022913703	-18.17592009	0.017283532			-18.42847759	10.14647665
-18.41749683	8.536049574	-18.18690085	0.019634419	-18.16493933	0.014719955			-18.41749683	9.145474222
-18.40651606	7.676627245	-18.17592009	0.016777245	-18.15395857	0.012500102			-18.40651606	8.224765098
-18.3955353	6.888300345	-18.16493933	0.014297703	-18.14297781	0.010589713			-18.3955353	7.380206886
-18.38455454	6.166899601	-18.15395857	0.012149261	-18.13199704	0.00894814			-18.38455454	6.607337629
-18.37357378	5.508359591	-18.14297781	0.01029793	-18.12101628	0.007537752			-18.37357378	5.90180492
-18.36259302	4.908813872	-18.13199704	0.008706805	-18.11003552	0.006333527			-18.36259302	5.259468442
-18.35161226	4.36419004	-18.12101628	0.007338519	-18.09905476	0.005307088			-18.35161226	4.675967885
-18.3406315	3.870993046	-18.11003552	0.006169335	-18.088074	0.004432734			-18.3406315	4.147559435
-18.32965074	3.425381887	-18.09905476	0.005171991	-18.07709324	0.003691405			-18.32965074	3.670129896
-18.31866998	3.023723658	-18.088074	0.004322334	-18.06611248	0.003065225			-18.31866998	3.239788907
-18.30768922	2.662808349	-18.07709324	0.003602073	-18.05513172	0.002534318			-18.30768922	2.85309659
-18.29670846	2.339177708	-18.06611248	0.002992858	-18.04415096	0.002090061			-18.29670846	2.506350546
-18.2857277	2.04992727	-18.05513172	0.00247628	-18.0331702	0.001721145			-18.2857277	2.196437175
-18.27474693	1.792003971	-18.04415096	0.002043887	-18.02218944	0.001412845			-18.27474693	1.920087247
